coder,segment_id,respondent_id,pseudonym,line,code,confidence,excerpt,memo
"M. Tran","MT-01","R001","Tasha","34","instrumental","high","For Jamir, I'm pushing trade school. HVAC, electrician, something like that.","Trade path chosen for earnings."
"M. Tran","MT-02","R001","Tasha","34","cost-risk","high","My cousin Marcus has a four-year degree in sociology, something like that, and he manages the Verizon store. He makes thirty-five thousand a year and owes sixty in loans. My other cousin DeShawn went to HVAC school for nine months, paid eight thousand, and he's clearing seventy.","Compares relatives' debt and pay as evidence."
"M. Tran","MT-03","R001","Tasha","38","instrumental","high","I look at it like, what's the return on the investment?","ROI framing, stated outright."
"M. Tran","MT-04","R001","Tasha","42","instrumental","high","If she wants to do that — okay. But she's gotta know what she's going for. I'm not paying for ""exploring.""","Coded instrumental: even the four-year path is justified by knowing the job outcome in advance."
"M. Tran","MT-05","R001","Tasha","46","instrumental","high","College is for getting a job. That's what it is now.","Says what college is for in one sentence."
"M. Tran","MT-06","R001","Tasha","50","cost-risk","high","People with money can take risks. We can't take risks.","Frames risk as something only the better-off can afford."
"M. Tran","MT-07","R001","Tasha","58","info-seeking","medium","Colleges don't tell you their job placement rate, you notice that? Trade schools do.","Judges institutions by whether they publish job outcomes."
"M. Tran","MT-08","R001","Tasha","62","info-seeking","high","I do my own research. There's a Facebook group for moms in the district, that's actually helpful.","Trusts her own research and peer groups over the counselor."
"M. Tran","MT-09","R001","Tasha","66","worry","high","Money. Always money.","Names money as her standing worry."
"M. Tran","MT-10","R001","Tasha","70","instrumental","high","Follow your passion does not pay rent.","Rejects the passion frame directly."
"M. Tran","MT-11","R002","Marisol","18","own-education","high","My father didn't believe in college for girls. He said it was a waste, that I would just get married and have babies, so why pay for school.","Her father blocked her own education; this drives the whole interview."
"M. Tran","MT-12","R002","Marisol","30","expressive","high","I want her to find out who she is. Because I never got to do that","College framed as self-discovery."
"M. Tran","MT-13","R002","Marisol","34","expressive","high","It's for becoming. That's what I think. It's for becoming the person you're going to be.","One-line definition of college as self-formation."
"M. Tran","MT-14","R002","Marisol","46","cost-risk","low","I think you have to invest in your children. If she has to take some loans, she'll pay them back.","Coded cost-risk because the segment addresses loans and repayment, though her stance is to dismiss the cost. Low confidence — borderline with expressive."
"M. Tran","MT-15","R002","Marisol","50","expressive","high","Good! Good. That means she's actually thinking. That means she's actually trying things.","Changing majors read as a good sign, not waste."
"M. Tran","MT-16","R002","Marisol","66","expressive","high","college is different. College is for the soul.","Explicit expressive definition."
"M. Tran","MT-17","R003","Carla","34","expressive","high","half the time I'm telling him, Marcus, you don't need to have it figured out, you can go to college and try things","The explore voice — coded expressive."
"M. Tran","MT-18","R003","Carla","34","instrumental","medium","the other half of the time I'm telling him, look, Marcus, you need to think about what you can actually do with this, you need to think about how we're going to pay for it","The practical voice. Medium confidence — she presents it as the voice she is forced into, not the one she believes."
"M. Tran","MT-19","R003","Carla","38","expressive","high","the first voice, the ""go explore"" voice, that's — I think that's what I believe in my heart.","Her stated true position. Reading Carla as expressive at core, instrumental under pressure."
"M. Tran","MT-20","R003","Carla","70","worry","medium","write down that I'm not as sure of any of this as I sound.","Coded worry: she asks the interviewer to record her uncertainty."
"M. Tran","MT-21","R004","Denise","30","instrumental","medium","he changed our whole family. He bought my mom a house.","The uncle's degree is treated as proof of material payoff."
"M. Tran","MT-22","R004","Denise","46","expressive","high","College is — it's the thing that breaks the cycle.","Coded expressive: aspirational, transformational language about what college means."
"M. Tran","MT-23","R004","Denise","54","instrumental","high","Terrance didn't study what he loved. He studied what worked.","Rejects studying for love; study for the job."
"M. Tran","MT-24","R004","Denise","62","expressive","high","I think college is sacred. I do.","Coded expressive: she calls college sacred and the most important thing her son can do — an elevated, non-instrumental framing."
