coder,segment_id,respondent_id,pseudonym,line,code,confidence,excerpt,memo
"A. Reyes","AR-01","R001","Tasha","18","own-education","high","School felt like — okay, you sit there, you do the work, and at the end of the day you don't have anything to show for it. At work I had a check.","Her own schooling is recalled as low-return; this frames the ROI logic she later applies to her children."
"A. Reyes","AR-02","R001","Tasha","34","instrumental","high","For Jamir, I'm pushing trade school. HVAC, electrician, something like that.","Path chosen on projected earnings."
"A. Reyes","AR-03","R001","Tasha","34","cost-risk","high","My cousin Marcus has a four-year degree in sociology, something like that, and he manages the Verizon store. He makes thirty-five thousand a year and owes sixty in loans. My other cousin DeShawn went to HVAC school for nine months, paid eight thousand, and he's clearing seventy.","Debt-to-earnings comparison among kin used as an explicit decision rule."
"A. Reyes","AR-04","R001","Tasha","38","instrumental","high","I look at it like, what's the return on the investment?","Explicit ROI vocabulary."
"A. Reyes","AR-05","R001","Tasha","42","child-sorting","medium","If she wants to do that — okay. But she's gotta know what she's going for. I'm not paying for ""exploring.""","Coded child-sorting rather than instrumental: the segment is about differentiating Aaliyah's path from Jamir's. The instrumental condition is the criterion, not the focus."
"A. Reyes","AR-06","R001","Tasha","46","instrumental","high","College is for getting a job. That's what it is now.","Definitional statement of purpose."
"A. Reyes","AR-07","R001","Tasha","50","cost-risk","high","People with money can take risks. We can't take risks.","Risk-aversion tied to class position rather than preference."
"A. Reyes","AR-08","R001","Tasha","62","info-seeking","high","I do my own research. There's a Facebook group for moms in the district, that's actually helpful.","Counselor steering rejected for peer networks."
"A. Reyes","AR-09","R001","Tasha","70","instrumental","high","Follow your passion does not pay rent.","Compact repudiation of the expressive frame."
"A. Reyes","AR-10","R002","Marisol","18","own-education","high","My father didn't believe in college for girls. He said it was a waste, that I would just get married and have babies, so why pay for school.","A gendered denial of access frames her resolve to give her daughter the opposite."
"A. Reyes","AR-11","R002","Marisol","30","expressive","high","I want her to go somewhere and live in the dorms and meet people from different places and stay up late arguing about books","College valued for experiential formation, not a credential."
"A. Reyes","AR-12","R002","Marisol","34","expressive","high","It's for becoming. That's what I think. It's for becoming the person you're going to be.","Definitional statement; the mirror image of Tasha line 46."
"A. Reyes","AR-13","R002","Marisol","46","expressive","medium","I think you have to invest in your children. If she has to take some loans, she'll pay them back.","Judgement call: although loans are mentioned, the segment subordinates cost to the expressive goal. Coded expressive, not cost-risk."
"A. Reyes","AR-14","R002","Marisol","66","expressive","high","college is different. College is for the soul.","Closing definitional statement of the expressive position."
"A. Reyes","AR-15","R003","Carla","38","expressive","medium","the first voice, the ""go explore"" voice, that's — I think that's what I believe in my heart.","She names this as her authentic preference; confidence medium because she does not act on it."
"A. Reyes","AR-16","R003","Carla","38","instrumental","high","we cannot afford to be romantic about this. He has to come out the other side with a job. Because there's no safety net.","The instrumental voice, the one she actually applies to the decision."
"A. Reyes","AR-17","R003","Carla","58","cost-risk","high","If we had money, the ""go explore"" voice would just win. There would be no conflict. The conflict is because we don't have money.","She attributes her own typological ambivalence directly to economic constraint."
"A. Reyes","AR-18","R003","Carla","50","info-seeking","medium","there's a website that ranks colleges by, like, return on investment. I look at that one and then I feel gross afterward.","Uses an instrumental information tool while voicing discomfort with it."
"A. Reyes","AR-19","R004","Denise","34","instrumental","high","It changes everything to have one person in the family who has a real career. Because then everybody else has — has a floor under them.","College valued as material security and insurance for kin."
"A. Reyes","AR-20","R004","Denise","46","instrumental","medium","College means a different life. It means your kids don't worry about lights getting cut off.","Construct-validity check advised: surface phrasing (""a different life"") reads expressive, but the stated content is material security. Coded instrumental on the content."
"A. Reyes","AR-21","R004","Denise","54","instrumental","high","Terrance didn't study what he loved. He studied what worked.","Explicit rejection of expressive choice."
"A. Reyes","AR-22","R004","Denise","62","instrumental","medium","sacred means you take it seriously. Sacred means you don't waste it. You go for a reason. You come out with a credential that opens a door.","Coded the passage where the respondent herself glosses ""sacred"" — the gloss is instrumental (a credential that opens a door). Did not code the bare ""college is sacred"" line in isolation."
