coder,segment_id,respondent_id,pseudonym,line,code,confidence,excerpt,memo
"J. Whitfield","JW-01","R001","Tasha","18","own-education","high","School felt like — okay, you sit there, you do the work, and at the end of the day you don't have anything to show for it. At work I had a check.","Her schooling read as low-payoff; sets up the ROI lens."
"J. Whitfield","JW-02","R001","Tasha","34","instrumental","high","For Jamir, I'm pushing trade school. HVAC, electrician, something like that.","Path selected for earnings."
"J. Whitfield","JW-03","R001","Tasha","34","cost-risk","high","My cousin Marcus has a four-year degree in sociology, something like that, and he manages the Verizon store. He makes thirty-five thousand a year and owes sixty in loans. My other cousin DeShawn went to HVAC school for nine months, paid eight thousand, and he's clearing seventy.","Kin outcomes used as a debt-versus-earnings comparison."
"J. Whitfield","JW-04","R001","Tasha","38","instrumental","high","I look at it like, what's the return on the investment?","Explicit ROI language."
"J. Whitfield","JW-05","R001","Tasha","42","instrumental","medium","If she wants to do that — okay. But she's gotta know what she's going for. I'm not paying for ""exploring.""","Double-coded (1 of 2): instrumental — the four-year path is conditioned on a known job outcome."
"J. Whitfield","JW-06","R001","Tasha","42","child-sorting","medium","If she wants to do that — okay. But she's gotta know what she's going for. I'm not paying for ""exploring.""","Double-coded (2 of 2): child-sorting — the same segment also differentiates Aaliyah's path from Jamir's."
"J. Whitfield","JW-07","R001","Tasha","46","instrumental","high","College is for getting a job. That's what it is now.","Definitional statement."
"J. Whitfield","JW-08","R001","Tasha","50","cost-risk","high","People with money can take risks. We can't take risks.","Risk framed as a class position."
"J. Whitfield","JW-09","R001","Tasha","62","info-seeking","high","I do my own research. There's a Facebook group for moms in the district, that's actually helpful.","Self-directed and peer information over the counselor."
"J. Whitfield","JW-10","R001","Tasha","70","instrumental","high","Follow your passion does not pay rent.","Rejects the expressive frame."
"J. Whitfield","JW-11","R002","Marisol","18","own-education","high","My father didn't believe in college for girls. He said it was a waste, that I would just get married and have babies, so why pay for school.","Gendered denial of access shapes her resolve."
"J. Whitfield","JW-12","R002","Marisol","30","expressive","high","I want her to go somewhere and live in the dorms and meet people from different places and stay up late arguing about books","College as experiential formation."
"J. Whitfield","JW-13","R002","Marisol","34","expressive","high","It's for becoming. That's what I think. It's for becoming the person you're going to be.","Definitional statement of the expressive position."
"J. Whitfield","JW-14","R002","Marisol","46","expressive","medium","I think you have to invest in your children. If she has to take some loans, she'll pay them back.","Double-coded (1 of 2): expressive — she raises cost only to dismiss it in favour of the goal."
"J. Whitfield","JW-15","R002","Marisol","46","cost-risk","low","I think you have to invest in your children. If she has to take some loans, she'll pay them back.","Double-coded (2 of 2): cost-risk — the segment does engage loans and repayment. Flagged for team adjudication; defensible either way."
"J. Whitfield","JW-16","R002","Marisol","62","worry","high","That she'll feel like she has to come home. That she'll worry about us too much and not let herself have the experience.","Her worry is relational — that the daughter absorbs the family's precarity."
"J. Whitfield","JW-17","R002","Marisol","66","expressive","high","college is different. College is for the soul.","Closing expressive definition."
"J. Whitfield","JW-18","R003","Carla","34","expressive","high","half the time I'm telling him, Marcus, you don't need to have it figured out, you can go to college and try things","The explore voice."
"J. Whitfield","JW-19","R003","Carla","34","instrumental","high","the other half of the time I'm telling him, look, Marcus, you need to think about what you can actually do with this, you need to think about how we're going to pay for it","The practical voice. Both voices coded for the same respondent within adjacent segments."
"J. Whitfield","JW-20","R003","Carla","38","expressive","high","the first voice, the ""go explore"" voice, that's — I think that's what I believe in my heart.","Her stated authentic preference."
"J. Whitfield","JW-21","R003","Carla","38","instrumental","high","we cannot afford to be romantic about this. He has to come out the other side with a job. Because there's no safety net.","The voice she applies in practice."
"J. Whitfield","JW-22","R003","Carla","58","cost-risk","high","If we had money, the ""go explore"" voice would just win. There would be no conflict. The conflict is because we don't have money.","Respondent attributes the instrumental/expressive tension to economic constraint."
"J. Whitfield","JW-23","R004","Denise","46","instrumental","medium","College means a different life. It means your kids don't worry about lights getting cut off.","Double-coded (1 of 2): instrumental — the stated content is material security."
"J. Whitfield","JW-24","R004","Denise","46","expressive","low","College means a different life. It means your kids don't worry about lights getting cut off.","Double-coded (2 of 2): expressive — the surface register (""a different life"") is aspirational. Genuine ambivalence; flagged for team adjudication."
"J. Whitfield","JW-25","R004","Denise","54","instrumental","high","Terrance didn't study what he loved. He studied what worked.","Explicit rejection of expressive choice."
"J. Whitfield","JW-26","R004","Denise","62","instrumental","medium","sacred means you take it seriously. Sacred means you don't waste it. You go for a reason. You come out with a credential that opens a door.","Her own gloss of ""sacred"" is instrumental — a credential that opens a door."
"J. Whitfield","JW-27","R004","Denise","62","expressive","low","I think college is sacred. I do.","Coded expressive against the surface language, low confidence. Note: respondent later qualifies ""sacred"" instrumentally (see JW-26). Flagged for adjudication."
